fighter_id,canonical_name,first_name,last_name,nickname,dob,height_cm,weight_lbs,reach_in,stance,ufc_url_slug
97,Albert Duraev,Albert,Duraev,,1989-01-05,180.3,185.0,75.0,Orthodox,6b7c7460855dbbb9
98,Albert Morales,Albert,Morales,The Warrior,1991-05-25,175.3,135.0,72.0,Orthodox,544d7460b3e44393
99,Albert Rios,Albert,Rios,,,172.7,145.0,,,868a78f2e810a837
100,Albert Tadevosyan,Albert,Tadevosyan,Albeezy,1992-04-12,,170.0,,,6751b11102b6adfe
101,Albert Tumenov,Albert,Tumenov,Einstein,1991-12-26,180.3,170.0,73.0,Orthodox,ff6a1f63c254127e
102,Alberta Cerra Leon,Alberta Cerra,Leon,,,172.7,238.0,,,6e02c318762f52f1
103,Alberto Crane,Alberto,Crane,,1976-07-14,165.1,155.0,,Orthodox,25433871e4eee0f4
104,Alberto Mina,Alberto,Mina,Soldier of God,1982-05-02,182.9,170.0,77.0,Orthodox,4b1d46a1b5c0fd11
105,Alberto Montes,Alberto,Montes,The Promise,1994-05-31,170.2,145.0,69.0,Orthodox,a112097ad877a48f
106,Alberto Uda,Alberto,Uda,,1984-08-08,190.5,185.0,,Orthodox,8f2deefe8c5dfb5d
107,Alden Coria,Alden,Coria,Cobra,1998-04-24,172.7,125.0,67.0,Orthodox,5e9ca8dd7d783a75
108,Alejandro Flores,Alejandro,Flores,El Gallito,1991-08-06,177.8,145.0,73.0,Orthodox,d23d5960ac5e117c
109,Alejandro Garcia,Alejandro,Garcia,Alex,,170.2,145.0,,,e5dc36e0aba7e9da
110,Alejandro Perez,Alejandro,Perez,Turbo,1989-09-02,167.6,135.0,67.0,Orthodox,80daefbed11ce998
111,Alejandro Villalobos,Alejandro,Villalobos,,1979-10-26,170.2,145.0,,,2e88f2030d8a928a
112,Aleksa Camur,Aleksa,Camur,,1995-09-25,185.4,205.0,74.0,Orthodox,c2a670b22d2e196f
113,Aleksandar Rakic,Aleksandar,Rakic,Rocket,1992-02-06,193.0,205.0,78.0,Orthodox,333b9e5c723ac873
114,Aleksander Emelianenko,Aleksander,Emelianenko,,1981-08-02,198.1,255.0,,Orthodox,f54200f1dfb9b5d4
115,Aleksandra Albu,Aleksandra,Albu,Stitch,1990-07-14,157.5,115.0,63.0,Orthodox,e76d9f656ceb82ab
116,Aleksandre Topuria,Aleksandre,Topuria,El Conquistador,1996-01-28,170.2,135.0,68.0,Orthodox,4a6dff1b260bcf61
117,Aleksei Kunchenko,Aleksei,Kunchenko,,1984-05-02,172.7,170.0,70.0,Orthodox,e2ccd9a9ace60de7
118,Aleksei Oleinik,Aleksei,Oleinik,The Boa Constrictor,1977-06-20,188.0,240.0,80.0,Orthodox,98c23cb6da5b3352
119,Alen Amedovski,Alen,Amedovski,,1988-04-06,177.8,185.0,74.0,Orthodox,70fa1c64a2c439ef
120,Alessandro Costa,Alessandro,Costa,Nono,1996-01-28,162.6,125.0,67.0,Orthodox,3fa97913cfd205d3
121,Alessio Di Chirico,Alessio,Di Chirico,Manzo,1989-12-12,182.9,185.0,74.0,Orthodox,77d7295d1b22c694
122,Alessio Sakara,Alessio,Sakara,Legionarius,1981-09-02,182.9,185.0,72.0,Orthodox,7f955f71fa2ce7ac
123,Alex Andrade,Alex,Andrade,El Toro,1974-05-14,180.3,200.0,,Orthodox,1562b12763cc8d67
124,Alex Caceres,Alex,Caceres,Bruce Leeroy,1988-06-20,177.8,145.0,73.0,Southpaw,7aa3d6964eff4877
125,Alex Chambers,Alex,Chambers,Astro Girl,1978-10-25,160.0,115.0,63.0,Southpaw,26b63bc5c0c1f65d
126,Alex Crispin,Alex,Crispin,,,,155.0,,,8944a0f9b2f0ce6d
127,Alex Da Silva,Alex,Da Silva,Leko,1996-02-04,172.7,155.0,73.0,Orthodox,c3ded6f7155f9ea4
128,Alex Dunworth,Alex,Dunworth,,,172.7,155.0,,,31732a614e7a3d1d
129,Alex Enlund,Alex,Enlund,,1987-05-27,177.8,145.0,,Orthodox,d238217e0f8ea8e1
130,Alex Garcia,Alex,Garcia,The Dominican Nightmare,1987-07-14,175.3,170.0,72.0,Orthodox,a2b12c3f3d60ff69
131,Alex Gilpin,Alex,Gilpin,,1992-03-26,170.2,145.0,,Orthodox,762c69860eef65d8
132,Alex Gorgees,Alex,Gorgees,Hitman,1995-08-11,188.0,155.0,74.0,Switch,803bebcfb6d6f506
133,Alex Higley,Alex,Higley,,,177.8,145.0,,,2af2d675f7d847e3
134,Alex Huddleston,Alex,Huddleston,The Shaved Gorilla,1986-08-11,200.7,254.0,,,8b9197746bd3e005
135,Alex Hunter,Alex,Hunter,,,175.3,226.0,,Orthodox,baa5358456803df8
136,Alex Karalexis,Alex,Karalexis,The Assassin,1977-09-20,172.7,155.0,66.0,Orthodox,e361e5c858af6ff1
137,Alex Morono,Alex,Morono,The Great White,1990-08-16,180.3,170.0,72.0,Orthodox,cdb96af67d096b1e
138,Alex Nicholson,Alex,Nicholson,The Spartan,1990-05-02,193.0,185.0,77.0,Orthodox,2b6d855c6e280fb1
139,Alex Oliveira,Alex,Oliveira,Cowboy,1988-02-21,180.3,170.0,76.0,Orthodox,57b10fca4f9c9a7a
140,Alex Pereira,Alex,Pereira,Poatan,1987-07-07,193.0,205.0,79.0,Orthodox,e5549c82bfb5582d
141,Alex Perez,Alex,Perez,,1992-03-21,167.6,125.0,65.0,Orthodox,ab2b4ff41d6ebe0f
142,Alex Reyes,Alex,Reyes,The Executioner,1986-10-02,180.3,155.0,73.0,Orthodox,dc07493a87dc0a6e
143,Alex Ricci,Alex,Ricci,,1982-07-21,180.3,155.0,,Orthodox,bf9bc96336922271
144,Alex Schoenauer,Alex,Schoenauer,,1976-05-05,190.5,185.0,,Orthodox,fdfef29ba17ee525
145,Alex Serdyukov,Alex,Serdyukov,The Russian Crusher,1980-05-24,188.0,170.0,74.0,Orthodox,253d3f9e97ca149a
146,Alex Soto,Alex,Soto,Extremo,1984-02-15,172.7,135.0,,Southpaw,d18dbcb0f8e2b55d
147,Alex Stiebling,Alex,Stiebling,The Brazilian Killa,,188.0,205.0,,Southpaw,df5a77121ba84a5d
148,Alex Torres,Alex,Torres,Rolo,1988-05-29,177.8,145.0,,Orthodox,e4e0f310b3cf23a8
149,Alex White,Alex,White,The Spartan,1988-10-22,182.9,155.0,71.0,Southpaw,c17041f1bb5768d8
150,Alex Zuniga,Alex,Zuniga,,,,145.0,,,02d808afb96669de
151,Alexa Grasso,Alexa,Grasso,,1993-08-09,165.1,125.0,66.0,Orthodox,e8b731feff72294b
152,Alexander Crispim,Alexander,Crispim,,,,145.0,,,15dedd05f8bcb475
153,Alexander Gustafsson,Alexander,Gustafsson,The Mauler,1987-01-15,195.6,205.0,79.0,Orthodox,3c6976f8182d9527
154,Alexander Hernandez,Alexander,Hernandez,El Gran Chango,1992-10-01,175.3,155.0,72.0,Orthodox,262a7d06203657e6
155,Alexander Morgan,Alexander,Morgan,The Chess Master,1991-05-14,177.8,145.0,71.0,Orthodox,938ea36fe9c269f0
156,Alexander Munoz,Alexander,Munoz,,1990-02-27,175.3,155.0,72.0,Switch,f8f1ec513bcfef43
157,Alexander Otsuka,Alexander,Otsuka,The Diet Butcher,1971-07-17,185.4,205.0,,Orthodox,865aa315ea62c511
158,Alexander Poppeck,Alexander,Poppeck,,1992-04-06,188.0,205.0,,Orthodox,56bf3ed155bd0fcd
159,Alexander Sarnavskiy,Alexander,Sarnavskiy,Tiger,1989-01-17,180.3,155.0,,,2097b1a5ff47dfb0
160,Alexander Shlemenko,Alexander,Shlemenko,Storm,1984-05-20,180.3,185.0,,,ed3ea649b34ddb6c
161,Alexander Soldatkin,Alexander,Soldatkin,,1993-06-10,188.0,250.0,75.0,Orthodox,f1451d605bad178e
162,Alexander Trevino,Alexander,Trevino,,,,170.0,,,73abb7a5c57fb443
163,Alexander Volkanovski,Alexander,Volkanovski,The Great,1988-09-29,167.6,145.0,71.0,Orthodox,e1248941344b3288
164,Alexander Volkov,Alexander,Volkov,Drago,1988-10-24,200.7,250.0,80.0,Orthodox,279566840aa55bf2
165,Alexander Yakovlev,Alexander,Yakovlev,Russian Thunder,1984-07-18,190.5,155.0,74.0,Southpaw,d06f8869449ba7bd
166,Alexandr Romanov,Alexandr,Romanov,King Kong,1990-12-11,188.0,262.0,75.0,Southpaw,c0badf3243907e59
167,Alexandre Barros,Alexandre,Barros,Baixinho,1976-11-19,175.3,170.0,,Southpaw,8fd1f27e86661ede
168,Alexandre Dantas,Alexandre,Dantas,Cafe,1979-03-01,188.0,238.0,,Orthodox,8dc46e9a7895ce1a
169,Alexandre Ferreira,Alexandre,Ferreira,Cacareco,1979-04-25,170.2,205.0,,Orthodox,28ba5f27e473420c
170,Alexandre Franca Nogueira,Alexandre Franca,Nogueira,Pequeno,1978-01-15,170.2,145.0,,Orthodox,4c27ca8c8481f79a
171,Alexandre Pantoja,Alexandre,Pantoja,The Cannibal,1990-04-16,165.1,125.0,67.0,Orthodox,a0f0004aadf10b71
172,Alexandru Lungu,Alexandru,Lungu,,1974-09-03,182.9,385.0,,Orthodox,4887e5bc4dbb73ff
173,Alexia Thainara,Alexia,Thainara,Burguesinha,1995-11-20,162.6,115.0,67.0,Orthodox,545092d13c67aa49
174,Alexis Davis,Alexis,Davis,,1984-10-04,167.6,135.0,68.0,Orthodox,4c2d90e335e6df19
175,Alexis Dufresne,Alexis,Dufresne,Sneaky Zebra,1990-08-31,175.3,135.0,,Orthodox,4ae4049426e0161d
176,Alfonso Alcarez,Alfonso,Alcarez,,1970-06-10,160.0,145.0,,,1e38bba6738b7b10
177,Alfred Khashakyan,Alfred,Khashakyan,The Fearless,1988-07-17,172.7,135.0,70.0,Orthodox,3929efe0c0a83d07
178,Ali AlQaisi,Ali,AlQaisi,The Royal Fighter,1990-09-23,167.6,135.0,68.0,Orthodox,e87a13e02c01331d
179,Ali Bagautinov,Ali,Bagautinov,Puncher,1985-06-10,162.6,125.0,65.0,Orthodox,3dd92ff9fb0412b3
180,Aliaskhab Khizriev,Aliaskhab,Khizriev,Black Wolf,1990-08-24,175.3,185.0,74.0,Southpaw,7ab478c397cd68ef
181,Alibi Idiris,Alibi,Idiris,,1994-10-22,167.6,125.0,68.0,Orthodox,30cad5a751adcb48
182,Alice Ardelean,Alice,Ardelean,,1992-04-19,160.0,115.0,62.0,Orthodox,87f8699fdcc2c404
183,Alice Pereira,Alice,Pereira,Golden Girl,2005-12-20,172.7,135.0,71.0,Orthodox,81d2c551886bd5a1
184,Aliev Makhmud,Aliev,Makhmud,,1970-02-13,167.6,195.0,,Southpaw,3d481aa374c954a1
185,Alik Lorenz,Alik,Lorenz,,1997-01-25,188.0,205.0,77.0,Orthodox,92b5f4ee9ff40321
186,Alistair Overeem,Alistair,Overeem,The Demolition Man,1980-05-17,193.0,265.0,80.0,Orthodox,b4ad3a06ee4d660c
187,Aljamain Sterling,Aljamain,Sterling,Funk Master,1989-07-31,170.2,145.0,71.0,Orthodox,cb696ebfb6598724
188,Allan Begosso,Allan,Begosso,Mini,1995-11-23,165.1,135.0,66.0,Orthodox,d6ed764f8b78d32a
189,Allan Goes,Allan,Goes,,1971-04-20,182.9,205.0,,Orthodox,e62b36885ecdac27
190,Allan Nascimento,Allan,Nascimento,Puro Osso,1991-09-11,172.7,125.0,69.0,Orthodox,253076a23d03dcd0
191,Allan Zuniga,Allan,Zuniga,Tigre,1992-04-04,170.2,155.0,70.0,Orthodox,523af801b3429015
192,Allen Berube,Allen,Berube,Monstah Lobstah,1974-08-25,172.7,155.0,,Orthodox,aebfb84d1f6d2d8c
193,Allen Crowder,Allen,Crowder,Pretty Boy,1989-11-08,190.5,245.0,76.0,Orthodox,a9d6e047ce48ab63
194,Allen Frye Jr.,Allen,Frye Jr.,,1998-04-15,,265.0,,,73a78713bd899f4c
195,Alonzo Martinez,Alonzo,Martinez,Zo Diddy,1984-04-22,177.8,155.0,,,feffee4fc6da3aa3
196,Alonzo Menifield,Alonzo,Menifield,Atomic,1987-10-18,182.9,205.0,76.0,Orthodox,a495f599e787614f
197,Alptekin Ozkilic,Alptekin,Ozkilic,The Turkish Delight,1986-03-27,165.1,125.0,65.0,Orthodox,e18a19001a3f7c7d
198,Alton Cunningham,Alton,Cunningham,The Bo-Man,1993-06-24,188.0,205.0,77.0,Orthodox,305bde44ff664788
199,Alvaro Herrera Mendoza,Alvaro,Herrera Mendoza,Chango,1990-05-14,182.9,155.0,74.0,Orthodox,74d35fbc9c6a61bd
200,Alvin Cacdac,Alvin,Cacdac,,,167.6,125.0,,Orthodox,ce7871949b0ed2bf
201,Alvin Hines,Alvin,Hines,Goozie,1991-10-20,188.0,265.0,74.0,Orthodox,ab2a4b5e04dc5fe9
202,Alvin Robinson,Alvin,Robinson,,1982-07-16,175.3,155.0,68.0,Southpaw,cbe79765d44bd172
203,Amador Ramirez,Amador,Ramirez,,1990-06-14,,135.0,,,ac31f869959860bc
204,Amanda Cooper,Amanda,Cooper,ABC,1991-10-22,160.0,115.0,64.0,Switch,d4a31850a7457f1b
205,Amanda Lemos,Amanda,Lemos,,1987-05-22,162.6,115.0,65.0,Southpaw,3df5493bb279226f
206,Amanda Nunes,Amanda,Nunes,The Lioness,1988-05-30,172.7,135.0,69.0,Orthodox,80fa8218c99f9c58
207,Amanda Ribas,Amanda,Ribas,,1993-08-26,162.6,115.0,66.0,Orthodox,beecb672a279223e
208,Amar Suloev,Amar,Suloev,,1976-07-01,175.3,183.0,,Orthodox,7aa88401f93ce836
209,Amaury Bitetti,Amaury,Bitetti,,,175.3,185.0,,Orthodox,7a359ef685a304a7
210,Amber Tackett,Amber,Tackett,,,,115.0,,,bb01bc3c57f39b04
211,Amilcar Alves,Amilcar,Alves,,1988-08-08,182.9,170.0,,Southpaw,dc5a6b2fdb27e7dc
212,Amir Albazi,Amir,Albazi,The Prince,1993-10-27,165.1,125.0,68.0,Orthodox,6d35bf94f7d30241
213,Amir Aliakbari,Amir,Aliakbari,,1984-06-10,190.5,250.0,,,e17770faae3ca54c
214,Amir Rahnavardi,Amir,Rahnavardi,,1974-12-07,182.9,205.0,,Orthodox,bc7f7f0ba3db74d2
215,Amir Sadollah,Amir,Sadollah,,1980-08-27,177.8,170.0,75.0,Orthodox,2650e2f846a30f64
216,Amiran Gogoladze,Amiran,Gogoladze,,1997-12-09,185.4,170.0,74.0,Switch,5d1636b6c1688502
217,An Tuan Ho,An Tuan,Ho,Highlight,2000-09-27,167.6,125.0,66.0,Switch,6c9384138c82962f
218,Ananias Mulumba,Ananias,Mulumba,Metal,1998-09-18,,145.0,,,a59bc10f5e9f5fbb
219,Anatoly Tokov,Anatoly,Tokov,,1990-02-17,177.8,185.0,,,679ae8c4fd022c6b
220,Anderson Dos Santos,Anderson,Dos Santos,Berinja,1985-07-24,165.1,135.0,70.0,Orthodox,bbc9ab95fa766493
221,Anderson Silva,Anderson,Silva,The Spider,1975-04-14,188.0,185.0,77.0,Southpaw,1f454354805b6f75
222,Andre Amado,Andre,Amado,Dida,,182.9,154.0,,Orthodox,20821819c401ced8
223,Andre Ewell,Andre,Ewell,Mr. Highlight,1988-01-21,172.7,145.0,75.0,Southpaw,5f6f049d54728e88
224,Andre Fialho,Andre,Fialho,,1994-04-07,182.9,170.0,74.0,Orthodox,33efaf2d0941cfcf
225,Andre Fili,Andre,Fili,Touchy,1990-06-25,180.3,145.0,74.0,Orthodox,8fd808923cffff82
226,Andre Galvao,Andre,Galvao,,1982-09-29,170.2,168.0,,Orthodox,45fe6765c56d8018
227,Andre Gusmao,Andre,Gusmao,,1977-05-19,182.9,205.0,,Orthodox,cc300e9aa3063431
228,Andre Lima,Andre,Lima,Mascote,1999-02-04,170.2,125.0,67.0,Orthodox,b1f21ce050035d58
229,Andre Muniz,Andre,Muniz,Sergipano,1990-02-17,185.4,185.0,78.0,Southpaw,886264a0c9f4ea5e
230,Andre Mussi,Andre,Mussi,,,190.5,242.0,,Orthodox,d0d43cb9b14f231c
231,Andre Pederneiras,Andre,Pederneiras,,1967-03-22,172.7,155.0,,Orthodox,bba678d312590087
232,Andre Petroski,Andre,Petroski,,1991-06-12,182.9,185.0,73.0,Switch,5f61780fe5e9b6d0
233,Andre Roberts,Andre,Roberts,The Chief,1965-02-24,188.0,345.0,,Orthodox,a54a35a670d8e852
234,Andre Santos,Andre,Santos,Chatuba,,182.9,170.0,,,5b5b78116d1fc3eb
235,Andre Soukhamthath,Andre,Soukhamthath,The Asian Sensation,1988-10-23,175.3,135.0,70.0,Orthodox,d0e50a3d1b250708
236,Andre Walker,Andre,Walker,,,180.3,205.0,,Southpaw,18944a1a6ac1becf
237,Andre Winner,Andre,Winner,,1981-11-09,180.3,155.0,73.0,Orthodox,b45d6b73f4ca4467
